# === Measurement Header ===
# Radar Frequency: 17GHz
# Site Name: 
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2024-11-11T08:39:57.848271
# Device Number: 600230001
# Frontend Connected: 4262920193
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 16500000
# Max Frequency: 18500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2024-11-11T08:39:57.848350
3294, 2384, 2592, 2278
3810, 428, 3716, 1736
3562, -1910, 4560, 666
2304, -4086, 4916, -674
224, -5576, 4692, -1922
-2292, -6034, 3994, -2916
-4976, -5428, 2994, -3584
-7250, -3846, 1854, -3922
-8648, -1588, 738, -3926
-9194, 1154, -368, -3738
-8872, 3994, -1380, -3316
-7462, 6172, -2142, -2620
-5368, 7592, -2680, -1832
-2876, 8436, -3004, -1006
-284, 8424, -3060, -180
2066, 7500, -2872, 548
3888, 5932, -2582, 1204
5018, 3922, -2162, 1742
5294, 1768, -1704, 2162
4846, -224, -1152, 2560
3798, -1826, -442, 2914
2382, -2942, 496, 3200
760, -3516, 1530, 3204
-722, -3410, 2416, 2816
-2006, -2788, 3212, 2184
-2906, -1912, 3886, 1336
-3310, -1072, 4270, 430
-3404, -378, 4468, -494
-3444, 76, 4454, -1422
-3532, 324, 4202, -2324
-3832, 554, 3772, -3198
-4428, 998, 3088, -4108
-4914, 1794, 2138, -4874
-5082, 2820, 878, -5312
-4840, 4116, -694, -5434
-4068, 5412, -2388, -5098
-2696, 6550, -3998, -4190
-834, 7096, -5254, -2788
1292, 6914, -5944, -1054
3348, 5948, -5978, 822
4720, 4210, -5280, 2526
5332, 2106, -4064, 3836
4978, 34, -2428, 4468
3856, -1642, -818, 4412
2230, -2774, 538, 3950
328, -3236, 1542, 3322
-1416, -2894, 2114, 2674
-2760, -1888, 2428, 2084
-3446, -554, 2658, 1706
-3420, 780, 2954, 1410
-2846, 1716, 3248, 1082
-2090, 2082, 3666, 604
-1422, 1910, 4202, -188
-1232, 1382, 4564, -1252
-1598, 838, 4484, -2464
-2384, 684, 3870, -3676
-3316, 1154, 2828, -4638
-3934, 2188, 1458, -5262
-4016, 3752, -138, -5524
-3332, 5492, -1900, -5334
-1824, 6630, -3408, -4564
144, 6956, -4484, -3344
2216, 6560, -5168, -1830
4118, 5452, -5412, -310
5478, 3692, -5172, 1134
5960, 1460, -4504, 2302
5420, -798, -3602, 3174
3914, -2668, -2506, 3720
1798, -3718, -1314, 3910
-484, -3710, -254, 3790
-2428, -2788, 638, 3420
-3624, -1240, 1352, 2994
-3974, 558, 1974, 2652
-3534, 2086, 2518, 2278
-2588, 3092, 3050, 1822
-1454, 3398, 3566, 1274
-568, 3178, 4038, 494
-108, 2672, 4368, -518
-110, 2194, 4350, -1706
-392, 1946, 3916, -2792
-724, 1926, 3116, -3608
-906, 2208, 2058, -4192
-852, 2742, 902, -4494
-474, 3280, -286, -4522
208, 3650, -1396, -4228
1094, 3768, -2440, -3718
2070, 3494, -3452, -3066
2840, 2790, -4208, -2188
3142, 1806, -4606, -1202
2994, 764, -4694, -168
2432, -114, -4516, 928
1626, -700, -4140, 2020
734, -974, -3536, 3010
-120, -832, -2704, 3796
-858, -362, -1682, 4268
-1258, 316, -514, 4476
-1292, 1008, 690, 4358
-1094, 1566, 1874, 3970
-698, 1948, 2992, 3382
-276, 2068, 4030, 2480
-10, 2032, 4846, 1392
154, 1940, 5380, 88
224, 1864, 5464, -1406
224, 1842, 4940, -2808
182, 1894, 3918, -3962
212, 1962, 2580, -4670
324, 2038, 1090, -4888
482, 2190, -392, -4728
768, 2332, -1696, -4242
1220, 2348, -2658, -3488
1712, 2194, -3280, -2614
2194, 1868, -3620, -1718
2498, 1328, -3856, -944
2438, 636, -3918, -210
2060, -14, -3726, 532
1452, -474, -3428, 1296
710, -604, -3014, 2052
-14, -462, -2396, 2618
-484, -102, -1608, 3016
-758, 452, -750, 3236
-768, 1082, 128, 3194
-576, 1708, 964, 2986
-136, 2148, 1722, 2712
396, 2340, 2420, 2202
954, 2236, 2942, 1522
1422, 1930, 3342, 738
1712, 1498, 3548, -128
1792, 974, 3476, -1016
1564, 476, 3110, -1816
1168, 194, 2516, -2474
678, 218, 1804, -2906
322, 492, 1062, -3110
242, 928, 386, -3136
452, 1264, -328, -2978
846, 1416, -966, -2802
1296, 1286, -1616, -2538
1520, 932, -2246, -2148
1430, 518, -2676, -1582
1076, 184, -2924, -896
642, 94, -3014, -158
246, 290, -2912, 634
32, 648, -2608, 1268
6, 1094, -2102, 1700
142, 1508, -1500, 1898
480, 1828, -902, 1930
1106, 2022, -384, 1866
1882, 1904, 28, 1770
2546, 1408, 398, 1656
2962, 620, 730, 1564
2908, -340, 1078, 1442
2254, -1208, 1442, 1362
1178, -1686, 1870, 1216
-4, -1622, 2278, 836
-972, -1024, 2634, 244
-1456, -16, 2812, -522
-1380, 1060, 2744, -1390
-754, 1936, 2370, -2224
220, 2400, 1656, -2916
1164, 2354, 734, -3286
1924, 1906, -206, -3238
2368, 1200, -1106, -2872
2412, 470, -1746, -2306
2088, -214, -2094, -1630
