# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: 
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2024-11-11T08:39:44.003820
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2024-11-11T08:39:44.003853
2858, 1050, -4346, -4120
2700, 294, -5724, -1866
2416, -236, -6134, 510
2198, -644, -5984, 2656
2128, -1012, -5398, 4444
2158, -1554, -4302, 6006
1968, -2270, -2698, 6980
1220, -2986, -648, 7218
-86, -3264, 1506, 6522
-1490, -2834, 3156, 4878
-2656, -1794, 4172, 2880
-3396, -368, 4480, 888
-3486, 1078, 4048, -698
-3090, 2244, 3164, -1706
-2378, 3148, 2190, -2196
-1492, 3804, 1384, -2258
-556, 4144, 848, -2168
446, 4128, 470, -2204
1444, 3856, -2, -2334
2412, 3418, -762, -2362
3292, 2876, -1754, -1990
4328, 2080, -2818, -1182
5398, 894, -3638, -8
6014, -756, -4010, 1324
5890, -2636, -3934, 2592
4888, -4364, -3498, 3712
3038, -5446, -2724, 4508
804, -5596, -1670, 4894
-1310, -4852, -602, 4942
-2882, -3446, 438, 4612
-3654, -1782, 1328, 4006
-3786, -270, 2126, 3254
-3458, 982, 2760, 2432
-2916, 1778, 3056, 1564
-2334, 2212, 3072, 754
-1830, 2466, 2842, 74
-1480, 2782, 2584, -426
-1094, 3394, 2336, -842
-400, 4050, 2114, -1244
524, 4258, 1780, -1514
1588, 4118, 1330, -1746
2836, 3716, 810, -1984
4060, 3012, 126, -2106
5178, 1976, -640, -1956
5988, 504, -1442, -1578
6160, -1244, -2148, -1044
5726, -3038, -2758, -236
4616, -4676, -3392, 952
2898, -5604, -3664, 2294
1034, -5626, -3416, 3548
-704, -4952, -2712, 4556
-2098, -3870, -1692, 5118
-2966, -2594, -638, 5266
-3512, -1250, 476, 5210
-3814, 80, 1620, 5016
-3784, 1388, 2852, 4552
-3280, 2388, 3978, 3636
-2480, 3096, 4940, 2408
-1612, 3510, 5592, 770
-696, 3834, 5774, -1114
286, 3962, 5314, -2780
1174, 3852, 4188, -3920
2012, 3610, 2756, -4286
2870, 3210, 1420, -4136
3838, 2640, 402, -3812
4620, 1842, -434, -3442
5236, 832, -1326, -2938
5700, -438, -2302, -2264
5766, -1870, -3136, -1266
5344, -3388, -3664, -78
4424, -4796, -3980, 1176
2896, -5816, -4112, 2450
1032, -6032, -3936, 3572
-958, -5494, -3394, 4734
-2700, -4304, -2384, 5782
-3878, -2636, -938, 6334
-4438, -852, 886, 6386
-4346, 770, 2816, 5688
-3728, 1928, 4318, 4350
-2978, 2718, 5346, 2682
-2212, 3294, 5742, 936
-1426, 3714, 5478, -598
-512, 4094, 4908, -1668
632, 4280, 4226, -2322
1838, 4082, 3620, -2710
3024, 3442, 3162, -3016
3920, 2538, 2698, -3362
4458, 1628, 2046, -3818
4794, 846, 1154, -4124
4990, 62, 48, -4086
5224, -934, -1184, -3722
5380, -2160, -2448, -2998
5184, -3562, -3472, -1946
4358, -4918, -4192, -696
2882, -6020, -4662, 682
892, -6480, -4814, 2110
-1270, -6024, -4610, 3464
-3298, -4770, -4120, 4862
-4816, -2900, -3148, 6208
-5492, -808, -1592, 7056
-5350, 1232, 328, 7182
-4548, 2982, 2448, 6600
-3280, 4212, 4488, 5488
-1710, 4940, 6288, 3796
-24, 4998, 7430, 1700
1456, 4462, 7592, -402
2568, 3592, 7002, -2272
3378, 2546, 5990, -3824
3808, 1508, 4602, -4758
3908, 650, 3172, -5034
3922, -10, 2018, -4914
3964, -474, 1206, -4726
4058, -956, 492, -4664
4128, -1612, -520, -4626
4002, -2334, -1880, -4320
3574, -2876, -3096, -3376
2986, -3422, -3908, -2036
2254, -4024, -4328, -674
1232, -4614, -4524, 568
-184, -4880, -4556, 1594
-1934, -4490, -4564, 2614
-3616, -3268, -4608, 3864
-4680, -1456, -4382, 5306
-4816, 534, -3554, 6874
-3982, 2208, -1928, 7980
-2642, 3108, 374, 8308
-1280, 3284, 3002, 7694
-148, 3064, 5656, 6172
592, 2766, 7870, 3992
966, 2540, 9174, 1466
1370, 2484, 9694, -1248
1934, 2432, 9394, -3868
2664, 2246, 8246, -6172
3490, 1888, 6412, -7896
4294, 1280, 4012, -8634
5166, 350, 1422, -8638
5970, -988, -962, -7922
6248, -2718, -2910, -6574
5662, -4312, -4140, -4838
4330, -5520, -4760, -3062
2500, -6496, -5212, -1634
330, -6832, -5596, -464
-2030, -6374, -6110, 712
-4184, -5102, -6596, 2264
-5566, -3094, -6460, 3882
-5988, -890, -5614, 5320
-5676, 1212, -4268, 6646
-4624, 2786, -2618, 7282
-3234, 3668, -984, 7416
-1858, 4048, 726, 7436
-642, 4240, 2798, 7450
420, 4212, 5076, 6878
1496, 3990, 7418, 5460
2694, 3632, 9668, 3040
3854, 2996, 10984, -104
4916, 2018, 11000, -3482
6040, 668, 9968, -6602
6650, -960, 7904, -8776
6640, -2872, 5310, -9910
6048, -4810, 2594, -10248
4698, -6284, 30, -9720
2728, -7234, -2370, -8652
346, -7468, -4488, -7238
-2186, -6878, -6334, -5472
-4556, -5436, -7780, -3458
-6238, -3290, -8608, -1378
-6870, -832, -8866, 732
-6590, 1686, -8916, 3016
-5296, 3696, -8474, 5280
-3260, 4874, -7318, 7440
-1014, 5084, -5414, 9046
972, 4372, -2936, 9776
2420, 3240, -306, 9752
3154, 2014, 2042, 8930
3454, 910, 4296, 7820
3518, -60, 6362, 6478
3346, -910, 8270, 4636
3030, -1652, 10164, 2280
2534, -2184, 11460, -620
1876, -2530, 11834, -3774
1170, -2582, 11130, -6704
504, -2280, 9454, -9268
188, -1816, 6920, -11346
300, -1512, 3564, -12528
634, -1566, -80, -12358
748, -2036, -3542, -10968
286, -2794, -6630, -8916
-842, -3226, -9008, -6312
-2218, -2974, -10430, -3398
-3398, -1976, -10952, -530
-4172, -390, -10848, 2350
-4230, 1598, -10308, 5296
-3212, 3318, -8962, 7768
-1482, 4146, -6832, 9316
560, 4046, -4274, 10136
2380, 3174, -1670, 10144
3660, 1686, 772, 9542
4204, 30, 3010, 8556
3998, -1552, 5036, 7280
3288, -2794, 6868, 5728
2238, -3618, 8496, 3820
870, -4082, 9790, 1552
-718, -3954, 10664, -1022
